image,dice,iou,hd95,mae
1.png,0.7317743897438049,0.5770065188407898,5.591168824543137,0.013465795665979385
10.png,7.24637710947107e-11,7.24637710947107e-11,362.03867196751236,0.031062427908182144
100.png,0.814711332321167,0.68735271692276,45.08426559601322,0.028615331277251244
101.png,0.9198936820030212,0.8516696095466614,5.285013954394896,0.016490507870912552
102.png,0.7163036465644836,0.5580008625984192,24.879053121370134,0.04852326214313507
103.png,0.9017667770385742,0.8211067914962769,9.538149682454636,0.03955782949924469
104.png,0.9581284523010254,0.9196224212646484,6.0,0.033917758613824844
105.png,0.9199812412261963,0.851819634437561,11.180339887498949,0.04955944046378136
106.png,1.7202820765116478e-11,1.7202820765116478e-11,362.03867196751236,0.12294280529022217
107.png,0.6611965894699097,0.4938713014125824,69.60130055359191,0.06727059930562973
108.png,0.7652000784873962,0.6196956038475037,43.21953469515555,0.048517659306526184
109.png,0.8964896202087402,0.8123980164527893,21.170658090375376,0.020805295556783676
11.png,0.8585097193717957,0.7520955801010132,28.428787832446286,0.07089582085609436
110.png,0.9040639400482178,0.8249239921569824,23.16020738087765,0.024074751883745193
111.png,0.8624773025512695,0.7582066655158997,37.321994558110326,0.034125037491321564
112.png,0.8568914532661438,0.7496150732040405,24.455871257315827,0.02950204908847809
113.png,0.7673754096031189,0.6225540637969971,54.680378956762105,0.04001356288790703
114.png,0.6664162278175354,0.4997183084487915,55.707831733686064,0.04916072264313698
115.png,0.10095012187957764,0.0531582236289978,31.28577069746846,0.0399794727563858
116.png,1.0881393008865814e-10,1.0881393008865814e-10,362.03867196751236,0.043783463537693024
117.png,0.7530971169471741,0.6039741039276123,28.237612393740683,0.022174011915922165
118.png,0.7434996366500854,0.5917226076126099,29.46996924191917,0.023287875577807426
119.png,0.6952223777770996,0.5328282713890076,41.5303272893738,0.026345031335949898
12.png,0.7310046553611755,0.5760499238967896,26.157176557195854,0.09632834792137146
120.png,0.7214906811714172,0.5643218159675598,39.34713306491955,0.027022838592529297
121.png,0.6890431642532349,0.5256032347679138,88.71437963108657,0.10442779958248138
122.png,0.7693800926208496,0.625197172164917,67.30329318298085,0.07135270535945892
123.png,0.785097062587738,0.6462220549583435,54.42800390590556,0.06180737912654877
124.png,1.3255567650471978e-11,1.3255567650471978e-11,362.03867196751236,0.15099133551120758
