shift,dice,iou,mae
clean,0.8908947706222534,0.8247484564781189,0.052671752870082855
dark,0.8909204006195068,0.824292778968811,0.05355832725763321
bright,0.8828799724578857,0.8146125674247742,0.05446210876107216
high_contrast,0.8843066692352295,0.8153459429740906,0.0547625795006752
gamma_dark,0.8864831328392029,0.8209711313247681,0.054275620728731155
gamma_bright,0.8870947360992432,0.8202601671218872,0.05517357215285301
warm,0.8789149522781372,0.8115544319152832,0.05424916744232178
cool,0.8910162448883057,0.8229047656059265,0.055527325719594955
