shift,dice,iou,mae
clean,0.8801201581954956,0.808799684047699,0.052778176963329315
dark,0.8726165890693665,0.8039309978485107,0.053750764578580856
bright,0.8680048584938049,0.7948665022850037,0.05669966712594032
high_contrast,0.8736491203308105,0.8002068400382996,0.05318431928753853
gamma_dark,0.8719003200531006,0.7995201945304871,0.05696675926446915
gamma_bright,0.8824604153633118,0.8120620250701904,0.05272937938570976
warm,0.867031455039978,0.7940760850906372,0.05746239051222801
cool,0.8810940384864807,0.8109585046768188,0.05339176952838898
