shift,dice,iou,mae
clean,0.8825392723083496,0.8153975009918213,0.06413417309522629
dark,0.8781558871269226,0.8084869980812073,0.06686032563447952
bright,0.8758472204208374,0.8045891523361206,0.06568893045186996
high_contrast,0.872527003288269,0.8006733655929565,0.06690928339958191
gamma_dark,0.8742973208427429,0.8013455271720886,0.06707797944545746
gamma_bright,0.8807823061943054,0.8103021383285522,0.06609603762626648
warm,0.8772042989730835,0.8059197068214417,0.06467889994382858
cool,0.8836462497711182,0.8150297403335571,0.06736638396978378
