shift,dice,iou,mae
clean,0.8749935626983643,0.7995536923408508,0.0762791559100151
dark,0.8660659790039062,0.7873068451881409,0.07922773063182831
bright,0.8584715127944946,0.7777804732322693,0.07992441952228546
high_contrast,0.8627426624298096,0.7828830480575562,0.07969620823860168
gamma_dark,0.8667792677879333,0.7887447476387024,0.0781572014093399
gamma_bright,0.8714275360107422,0.7930179834365845,0.07895682007074356
warm,0.8615803718566895,0.7819785475730896,0.07799717038869858
cool,0.8722277283668518,0.7949308753013611,0.07918156683444977
