shift,dice,iou,mae
clean,0.8842764496803284,0.8184797763824463,0.05829827859997749
dark,0.8815464973449707,0.8140517473220825,0.060288768261671066
bright,0.8750566840171814,0.8061470985412598,0.06065129116177559
high_contrast,0.875012218952179,0.8053647875785828,0.061299361288547516
gamma_dark,0.8842059969902039,0.8172814846038818,0.059864193201065063
gamma_bright,0.8774887919425964,0.8105250597000122,0.06088809669017792
warm,0.8783451318740845,0.8095855712890625,0.05942455306649208
cool,0.880537211894989,0.8133857250213623,0.06196686625480652
