shift,dice,iou,mae
clean,0.8850140571594238,0.8165398240089417,0.05246338993310928
dark,0.8764390349388123,0.806020975112915,0.05442433804273605
bright,0.8723771572113037,0.799725353717804,0.05438150092959404
high_contrast,0.8772991895675659,0.8053367733955383,0.05322989076375961
gamma_dark,0.8778746724128723,0.8064133524894714,0.05456933379173279
gamma_bright,0.8839064240455627,0.8152741193771362,0.05408021807670593
warm,0.8814425468444824,0.8114842772483826,0.05157133936882019
cool,0.8808571696281433,0.8109659552574158,0.05538414046168327
