image,dice,iou,hd95,mae
1.png,3.012048110928589e-10,3.012048110928589e-10,362.03867196751236,0.020488157868385315
10.png,0.22828154265880585,0.12884752452373505,26.53169850139215,0.04400551691651344
100.png,0.7910351753234863,0.6543078422546387,49.728110625772054,0.028928957879543304
101.png,0.7912515997886658,0.6546040773391724,26.342396306703687,0.019451778382062912
102.png,0.5126422047615051,0.34466639161109924,78.22210349672307,0.07301254570484161
103.png,0.6998573541641235,0.5382927656173706,46.51881339845203,0.06666092574596405
104.png,0.8173019289970398,0.6910486817359924,20.558421192993134,0.06320364028215408
105.png,0.31424033641815186,0.18640874326229095,103.29252159669663,0.10437364876270294
106.png,0.2509402632713318,0.14347152411937714,106.16877338057623,0.10906028747558594
107.png,0.658093273639679,0.490416556596756,73.88537894538665,0.061990685760974884
108.png,0.7111653685569763,0.5517894625663757,29.082368700982656,0.053711824119091034
109.png,0.9222256541252136,0.855675995349884,24.641474009795296,0.017455533146858215
11.png,0.7488828301429749,0.5985713005065918,46.35404017479208,0.12340277433395386
110.png,0.9271328449249268,0.8641636967658997,22.978040422913743,0.021066861227154732
111.png,0.8343108296394348,0.7157232761383057,34.50442124877619,0.03503241017460823
112.png,0.868952751159668,0.7682727575302124,25.58931739420072,0.02424876019358635
113.png,0.516951322555542,0.34857338666915894,76.30324949124936,0.06233953684568405
114.png,0.4954128563404083,0.32926830649375916,66.26700257556264,0.04815879464149475
115.png,0.1390070915222168,0.07469512522220612,21.18962010041709,0.13176818192005157
116.png,8.143322821618781e-11,8.143322821618781e-11,22.67156809750927,0.12691588699817657
117.png,0.7856929898262024,0.6470299363136292,28.082867980283073,0.017671074718236923
118.png,0.7443099021911621,0.5927497148513794,28.16183189889034,0.021771250292658806
119.png,0.7325211763381958,0.5779356360435486,27.76474428872778,0.02817497029900551
12.png,0.7890583872795105,0.6516072750091553,13.208506184972343,0.04739995300769806
120.png,0.6583439707756042,0.4906950294971466,39.68530046529022,0.029071981087327003
121.png,0.6846047043800354,0.5204554796218872,84.09826885204771,0.11059486865997314
122.png,0.7400776147842407,0.5873993635177612,69.93726423115953,0.07527139037847519
123.png,0.7421084046363831,0.5899621248245239,57.22099626320934,0.06676378846168518
124.png,1.3255567650471978e-11,1.3255567650471978e-11,362.03867196751236,0.16702358424663544
125.png,0.7910758256912231,0.6543634533882141,20.248456731316587,0.053207818418741226
126.png,0.549983024597168,0.37929418683052063,31.12551827985689,0.07217688858509064
127.png,0.7786380052566528,0.63751620054245,35.04211981818519,0.051130928099155426
128.png,0.8838280439376831,0.7918385863304138,24.53973526673307,0.02000056765973568
129.png,0.797225832939148,0.6628225445747375,21.42192735739805,0.052784837782382965
13.png,0.855572521686554,0.7475987076759338,8.54400374531753,0.029513904824852943
130.png,0.7462937235832214,0.595270037651062,20.673465303667246,0.05259466916322708
131.png,0.5091137886047363,0.3414839804172516,68.94291231163072,0.05499211326241493
132.png,0.8651289939880371,0.7623148560523987,7.0,0.01790117844939232
133.png,0.9039820432662964,0.8247875571250916,8.0,0.01720050349831581
134.png,0.9197037816047668,0.851344108581543,6.041381265149109,0.016804706305265427
135.png,0.9271448850631714,0.864184558391571,5.0,0.018207330256700516
136.png,0.8808619976043701,0.7870897054672241,8.561359904561204,0.02792239747941494
137.png,0.7750245332717896,0.6326857805252075,22.47220505424423,0.06816311180591583
138.png,0.3739868700504303,0.23000237345695496,94.1243133385782,0.0890851616859436
139.png,0.7083836793899536,0.5484474301338196,30.379090662016562,0.05447586253285408
14.png,0.9686600565910339,0.9392247796058655,2.0,0.011983894743025303
140.png,0.8719151616096497,0.772916316986084,7.615773105863909,0.03274582698941231
141.png,0.8279973268508911,0.7064807415008545,13.0,0.03616419807076454
142.png,0.927789568901062,0.8653054237365723,7.211102550927978,0.022060370072722435
143.png,0.9093893766403198,0.8338350653648376,30.227987634913234,0.018345924094319344
144.png,0.9519950747489929,0.9083880186080933,5.0,0.031618256121873856
145.png,0.9549347162246704,0.9137560725212097,5.830951894845301,0.030406147241592407
146.png,0.8843439221382141,0.7926672101020813,34.10565993589411,0.021093398332595825
147.png,0.9013800024986267,0.8204656839370728,8.181827525207447,0.01736108399927616
148.png,0.8896637558937073,0.8012561798095703,11.079105734765182,0.029880058020353317
149.png,0.9498118758201599,0.9044207334518433,6.324555320336759,0.019703123718500137
15.png,0.8908485174179077,0.8031802177429199,5.0,0.016071591526269913
150.png,0.9454507231712341,0.8965448141098022,5.847856705360765,0.017312172800302505
151.png,0.7718411684036255,0.6284538507461548,18.384776310850235,0.023871708661317825
152.png,0.8829560875892639,0.7904399037361145,8.06225774829855,0.021843859925866127
153.png,0.8955331444740295,0.810828447341919,8.024456537439756,0.0362103097140789
154.png,0.7104687094688416,0.5509510636329651,67.3289358060716,0.062160372734069824
155.png,0.8589804768562317,0.7528183460235596,10.198039027185569,0.021916978061199188
156.png,0.8810840845108032,0.7874444127082825,5.385164807134504,0.019565772265195847
157.png,0.9427312612533569,0.8916666507720947,2.888477631085023,0.008193552494049072
158.png,0.9056364893913269,0.8275462985038757,4.242640687119285,0.009267445653676987
159.png,0.8958504796028137,0.8113489151000977,5.0,0.01060577668249607
16.png,0.9212499856948853,0.8539977073669434,8.52932315254779,0.028126586228609085
160.png,0.8308693170547485,0.7106727361679077,5.830951894845301,0.013226966373622417
161.png,0.8820881843566895,0.7890499234199524,6.0,0.0121065154671669
162.png,0.8854241967201233,0.7944046854972839,5.0,0.015188544988632202
163.png,0.9048323631286621,0.8262044191360474,5.656854249492381,0.020474795252084732
