image,dice,iou,hd95,mae
1.png,0.5961164832115173,0.4246196448802948,9.660063798445131,0.028334423899650574
10.png,0.8031666278839111,0.6710763573646545,9.391093797103856,0.03666941076517105
100.png,0.8084580898284912,0.6784974336624146,41.144257640847314,0.04135353863239288
101.png,0.8423814177513123,0.7276847958564758,9.0,0.031704131513834
102.png,0.652190625667572,0.4838893711566925,68.43771346313689,0.07423729449510574
103.png,0.755684494972229,0.6073094010353088,18.176167895334565,0.073919378221035
104.png,0.9583038091659546,0.9199455976486206,6.4031242374328485,0.05225873738527298
105.png,0.5060648918151855,0.33874621987342834,34.879789329975935,0.10076025128364563
106.png,1.7202820765116478e-11,1.7202820765116478e-11,362.03867196751236,0.10735156387090683
107.png,0.7255089282989502,0.5692538022994995,65.34959407674522,0.04973883926868439
108.png,0.7445658445358276,0.593074381351471,43.88487635530624,0.05747580528259277
109.png,0.8828078508377075,0.7902023196220398,16.38706175007279,0.03271138295531273
11.png,0.8573373556137085,0.7502979040145874,15.524174696260024,0.07226316630840302
110.png,0.8835451602935791,0.7913846373558044,28.69206726530551,0.036555126309394836
111.png,0.8557743430137634,0.7479069828987122,38.85278329560607,0.04502838850021362
112.png,0.8454797267913818,0.7323212623596191,24.108038700831752,0.04029962047934532
113.png,0.6931766867637634,0.5304287672042847,61.61980201201558,0.06280173361301422
114.png,0.6724957227706909,0.506586492061615,55.786871313769865,0.048530347645282745
115.png,0.7368420958518982,0.5833333134651184,17.365511906953802,0.03644994646310806
116.png,1.0881393008865814e-10,1.0881393008865814e-10,362.03867196751236,0.039047084748744965
117.png,0.744356632232666,0.5928089618682861,27.416537516519757,0.03625715896487236
118.png,0.7443574666976929,0.5928099751472473,27.941105762830762,0.038321319967508316
119.png,0.7039691209793091,0.5431731343269348,41.5102852702039,0.039123520255088806
12.png,0.6927145719528198,0.5298877358436584,23.336652223794353,0.05496373772621155
120.png,0.7243701815605164,0.5678529739379883,39.35411470548068,0.038186024874448776
121.png,0.6673426032066345,0.5007607936859131,87.12775025565314,0.11546942591667175
122.png,0.7574177384376526,0.6095513701438904,66.62568388070761,0.08320370316505432
123.png,0.7738140821456909,0.6310740113258362,53.70080506531485,0.07381286472082138
124.png,0.07500629127025604,0.03896443545818329,70.14977110831748,0.12979412078857422
125.png,0.800000011920929,0.6666666865348816,55.06109262421536,0.06851768493652344
126.png,0.7837763428688049,0.6444343328475952,14.866068747318506,0.05973642319440842
127.png,0.8289991021156311,0.7079405784606934,37.23959427354009,0.05620919540524483
128.png,0.8794081211090088,0.7847711443901062,25.53244019827366,0.03402169793844223
129.png,0.9011877179145813,0.8201471567153931,13.416407864998739,0.049360357224941254
13.png,0.8911944627761841,0.8037428259849548,6.0,0.0308695025742054
130.png,0.9078023433685303,0.831170380115509,12.585220963886455,0.045710090547800064
131.png,0.6381441354751587,0.46858417987823486,60.14807566117979,0.051165275275707245
132.png,0.9327760338783264,0.8740208745002747,5.0,0.0294523686170578
133.png,0.9373372197151184,0.8820645809173584,3.605551275463989,0.02988256700336933
134.png,0.9558333158493042,0.9154030084609985,3.0,0.026426469907164574
135.png,0.9548196792602539,0.9135454297065735,3.0,0.02841121144592762
136.png,0.9469584226608276,0.8992602229118347,3.605551275463989,0.03056154027581215
137.png,0.9368909001350403,0.8812745213508606,15.12735041645029,0.054876659065485
138.png,0.9251614809036255,0.8607445955276489,13.446180810658714,0.05258423835039139
139.png,0.7491799592971802,0.5989510416984558,45.75361601555308,0.05733183026313782
14.png,0.9599130153656006,0.922916054725647,3.0,0.024741631001234055
140.png,0.9111764430999756,0.8368449211120605,6.708203932499369,0.038309261202812195
141.png,0.9298924803733826,0.868971049785614,5.0990195135927845,0.03757638484239578
142.png,0.9584245085716248,0.9201680421829224,3.1622776601683795,0.030156651511788368
143.png,0.8944453001022339,0.8090466856956482,22.090652390925285,0.031563933938741684
144.png,0.9440162777900696,0.8939685225486755,5.0,0.03716304525732994
145.png,0.9559956789016724,0.9157008528709412,5.656854249492381,0.03864837437868118
146.png,0.8696990609169006,0.7694402933120728,28.1512630611113,0.03473877161741257
147.png,0.9196414351463318,0.8512372374534607,5.0,0.03003093972802162
148.png,0.9073650240898132,0.8304375410079956,5.0,0.03867146745324135
149.png,0.9538117051124573,0.9117017984390259,6.970156211871601,0.037241242825984955
15.png,0.8872938752174377,0.7974197864532471,5.439502695606076,0.03142359107732773
150.png,0.9158415794372559,0.844748854637146,9.848857801796104,0.0372982919216156
151.png,0.8402693867683411,0.7245384454727173,15.06637297521078,0.036805614829063416
