model,dataset,seed,split_seed,checkpoint,checkpoint_sha256,best_epoch,best_val_dice,init_checkpoint,deduplicate_exact_pairs,mc_samples,calibration_dataset,inference_mode,threshold,n_images,dice,dice_std_images,iou,iou_std_images,hd95,hd95_std_images,mae,mae_std_images,source_file
resunet,kvasir,44,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed44/best_model.pth,ca6fe6911acbeec6d95c987d468cfa62433388ed36194fb1968b80b3d9b628d4,8,0.8842790853994685,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,100,0.8909533439582337,0.16674369693418323,0.830483259112214,0.18566936033935158,19.302170530295896,41.925893381610486,0.05324686586856842,0.042855609130027,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet/seed44/kvasir/summary.json
resunet_dsp,cvc,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_dsp/seed42/best_model.pth,d75c4c6ffd18e3f689587d60ef1df0c51b945256adc7e5db5ff78bbc079e0d7e,3,0.8811205351370174,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,plain,0.525,380,0.6833200246944844,0.3214315812566453,0.5928347915426894,0.3075453441759896,57.521062138001156,99.82294279597227,0.05942945014195223,0.07399714805698915,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_dsp/seed42/cvc/summary.json
resunet_dsp,cvc_dedup,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_dsp/seed42/best_model.pth,d75c4c6ffd18e3f689587d60ef1df0c51b945256adc7e5db5ff78bbc079e0d7e,3,0.8811205351370174,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,True,1,Kvasir-SEG fixed validation subset only,plain,0.525,350,0.676322435615901,0.32826168263908384,0.5875436835220323,0.3140031939855334,59.98991557451311,103.13330944441851,0.06091772219432252,0.07658313658799946,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_dsp/seed42/cvc_dedup/summary.json
resunet_dsp,kvasir,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_dsp/seed42/best_model.pth,d75c4c6ffd18e3f689587d60ef1df0c51b945256adc7e5db5ff78bbc079e0d7e,3,0.8811205351370174,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,plain,0.525,100,0.8711522034555673,0.1690894811042289,0.8009492262080312,0.2002033555794549,21.979832068081297,30.346205513875034,0.06377127595245838,0.05351943603704203,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_dsp/seed42/kvasir/summary.json
resunet_spc,cvc,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed42/best_model.pth,6ac4c5f33896ccb103b852debd278029da481da2babb053f7beeb7caba664b16,2,0.8825393328088122,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,380,0.6991981661045623,0.31782202805622833,0.6117796062286962,0.3090587481727076,50.91490972923078,88.09540140840927,0.06239979745526063,0.07142655887783651,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed42/cvc/summary.json
resunet_spc,cvc_dedup,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed42/best_model.pth,6ac4c5f33896ccb103b852debd278029da481da2babb053f7beeb7caba664b16,2,0.8825393328088122,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,True,1,Kvasir-SEG fixed validation subset only,hflip,0.5,350,0.6937913774592096,0.3234405387985527,0.6075974052867946,0.3138986464408498,52.016252731710765,89.52593412194535,0.06357242583164147,0.07351830973734823,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed42/cvc_dedup/summary.json
resunet_spc,kvasir,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed42/best_model.pth,6ac4c5f33896ccb103b852debd278029da481da2babb053f7beeb7caba664b16,2,0.8825393328088122,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,100,0.8725920156970589,0.18834591438811882,0.8073356334887414,0.20551581783241332,22.00842393014133,42.66665935948982,0.06274197550490498,0.051115229892544,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed42/kvasir/summary.json
resunet_spc,cvc,43,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed43/best_model.pth,dc2db1f677e251a53a0d8b8c0e068d6fadd22eb6872ec42b32b4ff3fc21ebf54,2,0.8850143870711915,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed43/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,380,0.7186281485131768,0.3036959729270154,0.6305917272193613,0.29977164409445956,48.97044142206514,81.54614900550501,0.04817167778107288,0.06444537052227008,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed43/cvc/summary.json
resunet_spc,cvc_dedup,43,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed43/best_model.pth,dc2db1f677e251a53a0d8b8c0e068d6fadd22eb6872ec42b32b4ff3fc21ebf54,2,0.8850143870711915,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed43/best_model.pth,True,1,Kvasir-SEG fixed validation subset only,hflip,0.5,350,0.7113833137220222,0.31037851351501244,0.6242003438777541,0.3050466913142295,51.08279580790853,84.10834724923018,0.04881641158568008,0.06590050405959168,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed43/cvc_dedup/summary.json
resunet_spc,kvasir,43,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed43/best_model.pth,dc2db1f677e251a53a0d8b8c0e068d6fadd22eb6872ec42b32b4ff3fc21ebf54,2,0.8850143870711915,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed43/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,100,0.8815978306531906,0.16233383435688187,0.8151969838887453,0.19063337056895385,19.349234260381618,26.26407338028074,0.047732043722644446,0.055777858594487875,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed43/kvasir/summary.json
resunet_spc,cvc,44,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed44/best_model.pth,d07ccfe90f128c608347ac749f6e90d4247ffa6dd1358ee691ba9460977255e2,2,0.8908947043120861,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed44/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,380,0.6959218751959817,0.3088288438758182,0.6035616020882425,0.300808401672518,53.28136546865508,92.9386342510198,0.054447615450542226,0.07479373909044308,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed44/cvc/summary.json
resunet_spc,cvc_dedup,44,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed44/best_model.pth,d07ccfe90f128c608347ac749f6e90d4247ffa6dd1358ee691ba9460977255e2,2,0.8908947043120861,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed44/best_model.pth,True,1,Kvasir-SEG fixed validation subset only,hflip,0.5,350,0.6939002004826837,0.31494483577836724,0.6035137803708466,0.30513987162681844,55.14350109612501,96.13280310666336,0.05560587720679385,0.07675836559063076,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed44/cvc_dedup/summary.json
resunet_spc,kvasir,44,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc/seed44/best_model.pth,d07ccfe90f128c608347ac749f6e90d4247ffa6dd1358ee691ba9460977255e2,2,0.8908947043120861,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed44/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,100,0.8847952620690812,0.17127557055334375,0.8221258676802863,0.192463695153571,20.575617468779775,41.693716718335956,0.04873381556943059,0.04379575735013779,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc/seed44/kvasir/summary.json
resunet_spc_region,cvc,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc_region/seed42/best_model.pth,11bb31350640a807cb36a67eb3a5f9198835b4411efc4ba889e69e9126e34432,3,0.883410002590974,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,plain,0.5,380,0.6818019532201542,0.3253444564714222,0.5931282489424702,0.31262771895133185,57.21850116640051,96.69095514423827,0.06380573427304626,0.08258852887517285,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc_region/seed42/cvc/summary.json
resunet_spc_region,cvc_dedup,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc_region/seed42/best_model.pth,11bb31350640a807cb36a67eb3a5f9198835b4411efc4ba889e69e9126e34432,3,0.883410002590974,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,True,1,Kvasir-SEG fixed validation subset only,plain,0.5,350,0.6719158039076336,0.33265299836181167,0.5845864674566829,0.3192296992594479,60.02585534198512,99.80533873326499,0.06585387411394289,0.08558494812456852,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc_region/seed42/cvc_dedup/summary.json
resunet_spc_region,kvasir,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet_spc_region/seed42/best_model.pth,11bb31350640a807cb36a67eb3a5f9198835b4411efc4ba889e69e9126e34432,3,0.883410002590974,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,False,1,Kvasir-SEG fixed validation subset only,plain,0.5,100,0.8756618593655496,0.16712227233684976,0.8070376838766008,0.19554938490356064,23.54919929423901,44.22303369966298,0.060321662295609715,0.049983706653676616,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet_spc_region/seed42/kvasir/summary.json
unetpp,cvc,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/unetpp/seed42/best_model.pth,e663e0cc4c70ba0bf5afc5df2ced183a90e946e2e3b7a7cb9ef77605db7cf13a,5,0.8692715045250953,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.6,380,0.6253697100085375,0.3523210118359374,0.5378147149025679,0.32800000096562104,83.93623255816247,129.79099688763372,0.1845041259731117,0.05526790505466244,<EXPERIMENT_ROOT>/bspc_optimized_eval/unetpp/seed42/cvc/summary.json
unetpp,cvc_dedup,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/unetpp/seed42/best_model.pth,e663e0cc4c70ba0bf5afc5df2ced183a90e946e2e3b7a7cb9ef77605db7cf13a,5,0.8692715045250953,,True,1,Kvasir-SEG fixed validation subset only,hflip,0.6,350,0.6280440477845911,0.35117771261875197,0.5404982041087255,0.3279822024240504,82.09248248667433,128.29777275617607,0.18484111607074738,0.05651224795285264,<EXPERIMENT_ROOT>/bspc_optimized_eval/unetpp/seed42/cvc_dedup/summary.json
unetpp,kvasir,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/unetpp/seed42/best_model.pth,e663e0cc4c70ba0bf5afc5df2ced183a90e946e2e3b7a7cb9ef77605db7cf13a,5,0.8692715045250953,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.6,100,0.8720988650619984,0.1763748569114064,0.8038461835868657,0.20136067764336213,19.81437045935708,25.802839251090393,0.1818939307332039,0.05294333475870298,<EXPERIMENT_ROOT>/bspc_optimized_eval/unetpp/seed42/kvasir/summary.json
