panel,image,selection_rule,baseline_ensemble_dice,ours_ensemble_dice,delta
a,225.png,largest gain,1.4409221899941033e-10,0.5793244626837948,0.5793244625397026
b,370.png,second-largest gain,0.16457960658952064,0.5909645910145342,0.4263849844250136
c,160.png,typical effect,0.8626001232328219,0.8663366336675019,0.0037365104346800404
d,76.png,typical effect,0.9591406908176164,0.9627402555571487,0.0035995647395322683
e,208.png,largest regression,0.728232190009468,0.48470209343923487,-0.24353009657023317
f,56.png,second-largest regression,0.7930622009693145,0.554720133686102,-0.2383420672832125
