dataset,n_images,mean_dice_baseline,mean_dice_ours,mean_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,positive_image_fraction,wilcoxon_greater_statistic,wilcoxon_greater_p
kvasir,100,0.8768780981760546,0.8796617028064435,0.002783604630389189,-0.0034836790483168847,0.008943483220032598,0.6,3000.0,0.051213017885905855
cvc,380,0.6822579467910661,0.7045827299379069,0.022324783146840867,0.01554348629661905,0.029478622750149952,0.6789473684210526,52379.0,1.986028067319688e-14
cvc_dedup,350,0.6764818188331071,0.6996916305546385,0.023209811721531446,0.015976860485119582,0.03120184484271448,0.6742857142857143,44322.0,3.143003763919231e-13
