image,dice,iou,hd95,mae
1.png,0.6934023499488831,0.5306930541992188,6.4031242374328485,0.02353433519601822
10.png,7.24637710947107e-11,7.24637710947107e-11,362.03867196751236,0.03818624094128609
100.png,0.8073105216026306,0.6768824458122253,44.20341497421133,0.03466679900884628
101.png,0.9510849714279175,0.9067321419715881,2.23606797749979,0.02236269973218441
102.png,0.7576912641525269,0.6099057793617249,18.31385088676936,0.05810724198818207
103.png,0.8997080326080322,0.8176993131637573,13.412670674955114,0.051578275859355927
104.png,0.9467377066612244,0.8988621830940247,14.646769673701595,0.06262296438217163
105.png,0.6153307557106018,0.4443882703781128,30.23243291566195,0.07924472540616989
106.png,0.512291431427002,0.34434932470321655,30.860969908961135,0.0789688304066658
107.png,0.7302600145339966,0.5751256346702576,65.8714559428738,0.051796503365039825
108.png,0.674530029296875,0.5088987946510315,46.81323754290386,0.06045126914978027
109.png,0.8876745700836182,0.7980349063873291,21.432973713734867,0.029671968892216682
11.png,0.8894209861755371,0.8008623719215393,17.09937340663809,0.11032088100910187
110.png,0.8993455171585083,0.8171007037162781,22.83059482987647,0.0316162034869194
111.png,0.856739342212677,0.7493823170661926,38.21320637016264,0.04324024170637131
112.png,0.8488645553588867,0.7374149560928345,25.333360653281915,0.038449227809906006
113.png,0.7251101136207581,0.5687629580497742,57.3257199008397,0.061386458575725555
114.png,0.605665385723114,0.43437591195106506,61.36963032842235,0.05240471661090851
115.png,0.0024984385818243027,0.0012507817009463906,40.413103091870724,0.05297550559043884
116.png,1.0881393008865814e-10,1.0881393008865814e-10,362.03867196751236,0.04048929736018181
117.png,0.7261869311332703,0.5700891017913818,29.478115897033177,0.030615750700235367
118.png,0.8242999315261841,0.7011141180992126,8.0,0.028422921895980835
119.png,0.9280797243118286,0.8658104538917542,3.0,0.027960095554590225
12.png,0.3504508137702942,0.2124524712562561,33.60729006062704,0.04720761999487877
120.png,0.6398197412490845,0.4703933894634247,43.71989238337521,0.037844762206077576
121.png,0.6576293110847473,0.48990142345428467,90.8680121938445,0.11559916287660599
122.png,0.7628925442695618,0.6166744828224182,65.05258901588272,0.07814954966306686
123.png,0.7865424752235413,0.6481829285621643,51.212108434346696,0.0686904639005661
124.png,1.3255567650471978e-11,1.3255567650471978e-11,362.03867196751236,0.1285346895456314
125.png,0.941494345664978,0.8894561529159546,8.246211251235321,0.04373224079608917
126.png,0.8311387896537781,0.7110671401023865,14.22119407152637,0.05669333040714264
127.png,0.8464977741241455,0.7338501214981079,33.83784863137726,0.050194159150123596
128.png,0.8921260833740234,0.8052595853805542,25.942243542145693,0.031577035784721375
129.png,0.9504671096801758,0.905609667301178,4.47213595499958,0.034510452300310135
13.png,0.8441725969314575,0.7303621172904968,9.063593104095188,0.02974734455347061
130.png,0.9552974104881287,0.9144204258918762,4.47213595499958,0.033153265714645386
